run_id,status,result,dataset,model,embedding,n_Gain,n_Start,run,last_cycle
RASK_one_hot_fnn_nGain10_nStart100_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,RASK,fnn,one_hot,10,100,7,16
PHOT_blosum90_rf_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,PHOT,rf,blosum90,10,500,4,33
YAP1_blosum90_rf_nGain20_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,YAP1,rf,blosum90,20,1000,7,21
YAP1_georgiev_svr_nGain50_nStart500_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,YAP1,svr,georgiev,50,500,9,6
GFP_blosum50_elastic_net_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run10,running,open,GFP,elastic_net,blosum50,100,1000,10,6
PHOT_blosum50_lightgbm_nGain100_nStart100_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,PHOT,lightgbm,blosum50,100,100,8,15
GFP_blosum90_linear_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,GFP,linear,blosum90,10,500,8,10
YAP1_georgiev_rf_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run8,running,open,YAP1,rf,georgiev,100,1000,8,10
YAP1_georgiev_rf_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,YAP1,rf,georgiev,50,1000,5,33
PHOT_one_hot_linear_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run5,running,open,PHOT,linear,one_hot,100,1000,5,33
YAP1_blosum90_rf_nGain100_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,YAP1,rf,blosum90,100,1000,3,1
PHOT_blosum50_lightgbm_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,failure,PHOT,lightgbm,blosum50,100,3000,5,11
GFP_blosum90_svr_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run3,running,open,GFP,svr,blosum90,10,3000,3,1
GFP_blosum90_rf_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run5,finished,success,GFP,rf,blosum90,10,1000,5,2
YAP1_blosum90_rf_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run3,finished,success,YAP1,rf,blosum90,50,200,3,18
YAP1_blosum90_rf_nGain20_nStart500_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,YAP1,rf,blosum90,20,500,2,1
YAP1_blosum90_elastic_net_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,YAP1,elastic_net,blosum90,20,3000,4,10
PHOT_blosum50_svr_nGain50_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run8,running,open,PHOT,svr,blosum50,50,1000,8,16
RASK_blosum90_svr_nGain100_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,RASK,svr,blosum90,100,500,8,4
PHOT_blosum90_linear_nGain10_nStart1000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,failure,PHOT,linear,blosum90,10,1000,2,11
YAP1_blosum50_svr_nGain20_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run4,running,open,YAP1,svr,blosum50,20,3000,4,11
YAP1_one_hot_lightgbm_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run1,finished,success,YAP1,lightgbm,one_hot,10,500,1,7
PHOT_one_hot_lightgbm_nGain100_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run7,finished,failure,PHOT,lightgbm,one_hot,100,3000,7,11
YAP1_georgiev_svr_nGain100_nStart200_ddG_top_start0.15_nCycles40_normedScores_run9,finished,success,YAP1,svr,georgiev,100,200,9,1
GFP_georgiev_linear_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run2,finished,success,GFP,linear,georgiev,10,3000,2,6
RASK_georgiev_elastic_net_nGain10_nStart3000_ddG_top_start0.15_nCycles40_normedScores_run3,finished,failure,RASK,elastic_net,georgiev,10,3000,3,14
PHOT_blosum90_elastic_net_nGain50_nStart200_ddG_top_start0.15_nCycles40_normedScores_run4,finished,failure,PHOT,elastic_net,blosum90,50,200,4,11
RASK_one_hot_lightgbm_nGain10_nStart500_ddG_top_start0.15_nCycles40_normedScores_run8,finished,failure,RASK,lightgbm,one_hot,10,500,8,13
